jahr;nameeg;anzfz_total;leergewicht;co2;co2_massgebend;ziel;ziel_abw;sanktion_final;gsc_beansprucht;gsc_reserve;anteil_lev
2023;Raplace Car GmbH;11;2190;191.1;191.1;195.3;-4.2;0;;;0.182
2023;Autociel SA;392;2106;183.4;183.4;187.2;-3.8;0;;;0.207
2023;CT Automobile AG;8;2322;246.3;246.3;207.9;38.4;30946.4;;;0
2023;Beyondmotors GmbH;0;;;;;;0;;;
2023;ah Auto AG;63;2363;206.4;206.4;211.8;-5.4;0;;;0.238
2023;Leasinvest AG;10;2586;231.9;231.9;233.2;-1.3;0;;;0.2
2023;Renault Trucks (Schweiz) AG;315;2419;214;214;217.2;-3.2;0;;;0.162
2023;Astara Switzerland Emission;2057;2056;170.5;170.5;182.4;-11.9;0;;;0.219
2023;PM Solving AG;73;2202;196.7;196.7;196.4;0.3;2211.9;;;0.192
2023;MAN & AMAG LNF;5832;2149;196.7;196.7;191.3;5.4;3121869.7;;;0.067
2023;Cadei SA;7;1660;157.4;157.4;144.4;13;9191;;;0
2023;Global Car Trading AG;35;1832;159.7;159.7;160.9;-1.2;0;;;0.229
2023;Auto Import Uster AG;0;;;;;;0;;;
2023;Lindengarage Gunzwil AG;17;2277;200.3;200.3;203.6;-3.3;0;;;0.176
2023;KG Trading Sàrl;32;2223;203.5;203.5;198.4;5.1;16160;;;0.063
2023;Garage H.Jeanneret et fils;7;2400;248;248;215.4;32.6;23048.2;;;0
2023;Garage Rod SA;0;;;;;;0;;;
2023;ICars-24 AG;16;2150;194.1;194.1;191.4;2.7;4363.2;;;0.125
2023;MI DI International SA;438;2227;216.8;216.8;198.8;18;796284;;;0.148
2023;Number One Car Rental AG;0;;;;;;0;;;
2023;CO2-Boerse AG;384;2223;195.2;195.2;198.3;-3.1;0;;;0.188
2023;Emil Frey AG;6474;1948;163.4;163.4;171.9;-8.5;0;;;0.195
2023;Oester Automobile;3;1756;168.1;168.1;153.6;14.5;4393.5;;;0
2023;JFK Horse World AG;6;2482;314.1;314.1;223.2;90.9;55085.4;;;0
2023;Kleinimporteure;105;;;;;;350361;;;
